,H,abbrv,category,citations,name,dblp_name
721,3,LPSS,Programming Languages,22,Logic Programming Summer School,Logic Programming Summer School
722,3,,Programming Languages,17,Algebraic Logic and Universal Algebra in Computer Science,Algebraic Logic and Universal Algebra in Computer Science
723,3,,Programming Languages,11,CIP-Project,NotAConf
724,2,,Programming Languages,141,Publications of the German Chapter of the ACM,NotAConf
725,2,SIGFORTH,Programming Languages,50,SIGFORTH Conference,NotAConf
726,2,CAL,Programming Languages,44,Confrence francophone sur les Architectures Logicielles,CAL
727,2,,Programming Languages,13,German-Argentinian Workshop on Information Technology,German-Argentinian Workshop on Information Technology
728,2,ZB,Programming Languages,16,International Conference of B and Z Users,ZB
729,2,Dynamo,Programming Languages,3,Workshop on Dynamic and Adaptive Compilation and Optimization,Dynamo
730,1,WIMAW,Programming Languages,68,Management der Anwendungsentwicklung und -wartung,NotAConf
731,1,GMMEMV,Programming Languages,47,Elektromagnetische Vertrglichkeit in der KFZ-Technik,NotAConf
732,1,,Programming Languages,36,Frauenarbeit und Informatik,NotAConf
733,1,UH,Programming Languages,26,Unternehmen Hochschule,UH
734,1,IRTAW,Programming Languages,15,International Workshop on Real-time Ada Issues,NotAConf
735,1,IFIP WG8.5,Programming Languages,11,Conference on Systems Engineering in Public Administration,NotAConf
736,1,,Programming Languages,7,Ada Deutschland Tagung,Ada Deutschland Tagung
737,1,DSML,Programming Languages,6,Domain-Specific Modeling Languages,DSML
738,1,SETA,Programming Languages,1,Symposium on Environments and Tools for Ada,SETA
739,0,,Programming Languages,10,Eiffel,Eiffel
740,93,USENIX,Operating Systems,1470,USENIX Technical Conference,NotAConf
741,73,SOSP,Operating Systems,413,ACM Symposium on Operating Systems Principles,SOSP
742,70,OSDI,Operating Systems,237,Operating Systems Design and Implementation,OSDI
743,59,NOSSDAV,Operating Systems,529,Network and Operating System Support for Digital Audio and Video,NOSSDAV
744,55,,Operating Systems,778,Hybrid Systems,Hybrid Systems
745,53,SIGMETRICS,Operating Systems,589,Measurement and Modeling of Computer Systems,SIGMETRICS
746,47,HotOS(WWOS),Operating Systems,351,Workshop on Workstation Operating Systems (now HotOS)/Workshop on Hot Topics in Operating Systems,HotOS
747,44,ASPLOS,Operating Systems,334,Architectural Support for Programming Languages and Operating Systems,ASPLOS
748,39,,Operating Systems,219,USENIX Conference on File and Storage Technologies,NotAConf
749,36,,Operating Systems,481,SIGOPS European Workshop,NotAConf
750,35,LISA,Operating Systems,738,USENIX Systems Administration Conference,LISA
751,30,EUROSYS,Operating Systems,179,EuroSys Conference,EuroSys
752,19,ASM,Operating Systems,247,Workshops on Abstract State Machines,ASM
753,16,,Operating Systems,41,USENIX Microkernels and Other Kernel Architectures Symposium,USENIX Microkernels and Other Kernel Architectures Symposium
754,15,,Operating Systems,56,USENIX MACH Symposium,USENIX MACH Symposium
755,8,,Operating Systems,34,Operating Systems,NotAConf
756,7,,Operating Systems,36,USENIX Conference on the BSD operating system,NotAConf
757,6,PLOS,Operating Systems,15,Programming Languages and Operating Systems,NotAConf
758,4,CISSE,Operating Systems,604,"International Joint Conferences on Computer, Information, and Systems Sciences, and Engineering",NotAConf
759,3,,Operating Systems,25,Process in Distributed Operating Systems and Distributed Systems Management,Process in Distributed Operating Systems and Distributed Systems Management
760,182,INFOCOM,Network & Communications,6558,IEEE INFOCOM,INFOCOM
761,136,MOBICOM,Network & Communications,939,Mobile Computing and Networking,MobiCom
762,112,SIGCOMM,Network & Communications,942,ACM SIGCOMM Conference,SIGCOMM
763,101,VTC,Network & Communications,1084,Vehicular Technology Conference,VTC
764,89,ICC,Network & Communications,8283,IEEE International Conference on Communications,ICC
765,89,MobiHoc,Network & Communications,454,Mobile Ad Hoc Networking and Computing,MobiHoc
766,69,IPSN,Network & Communications,774,Information Processing in Sensor Networks,IPSN
767,69,SenSys,Network & Communications,628,Conference On Embedded Networked Sensor Systems,SenSys
768,60,ICNP,Network & Communications,753,International Conference on Network Protocols,ICNP
769,59,NOSSDAV,Network & Communications,529,Network and Operating System Support for Digital Audio and Video,NOSSDAV
770,58,NSDI,Network & Communications,289,Networked Systems Design and Implementation,NSDI
771,55,UbiComp(HUC),Network & Communications,478,Ubiquitous Computing/Handheld and Ubiquitous Computing,UbiComp
772,53,SIGMETRICS,Network & Communications,589,Measurement and Modeling of Computer Systems,SIGMETRICS
773,48,MobiSys,Network & Communications,245,"International Conference on Mobile Systems, Applications, and Services",MobiSys
774,47,IPTPS,Network & Communications,144,Peer-to-Peer Systems,IPTPS
775,45,,Network & Communications,1469,IEEE International Conference on Pervasive Computing and Communications,NotAConf
776,44,IWQoS,Network & Communications,529,International Workshop on Quality of Service,IWQoS
777,43,PIMRC,Network & Communications,7978,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications",PIMRC
778,41,ICCCN,Network & Communications,2069,International Conference on Computer Communications and Networks,ICCCN
779,41,WMCSA,Network & Communications,223,Workshop on Mobile Computing Systems and Applications,WMCSA
780,39,MA,Network & Communications,188,International Symposium on Mobile Agents,NotAConf
781,38,IMC,Network & Communications,258,Internet Measurement Conference,IMC
782,37,SECON,Network & Communications,574,Sensor and Ad Hoc Communications and Networks,SECON
783,36,LCN,Network & Communications,2541,IEEE Conference on Local Computer Networks,LCN
784,35,MSWiM,Network & Communications,688,International Workshop on Modeling Analysis and Simulation of Wireless and Mobile Systems,MSWiM
785,35,GLOBECOM,Network & Communications,254,Global Telecommunications Conference,GLOBECOM
786,34,MASCOTS,Network & Communications,1243,"Modeling, Analysis, and Simulation On Computer and Telecommunication Systems",MASCOTS
787,34,NETWORKS,Network & Communications,215,Conference on Computer Networks,NETWORKS
788,32,ICDCS(Workshop),Network & Communications,1246,International Conference on Distributed Computing Systems,ICDCS
789,32,,Network & Communications,950,Integrated Network Management,Integrated Network Management
790,32,,Network & Communications,235,Pervasive Computing,NotAConf
791,31,ISCC,Network & Communications,2484,International Symposium on Computers and Communications,ISCC
792,31,SAINT,Network & Communications,1149,Symposium on Applications and the Internet,SAINT
793,29,SASN,Network & Communications,67,workshop on security of ad hoc and sensor networks,SASN
794,28,FORTE,Network & Communications,768,Formal Techniques for Networked and Distributed Systems,FORTE
795,28,MDM,Network & Communications,679,Mobile Data Management,Mobile Data Management
796,28,,Network & Communications,364,Policies for Distributed Systems and Networks,NotAConf
797,27,Networking,Network & Communications,1070,Networking,Networking
798,27,PSTV,Network & Communications,336,"Protocol Specification, Testing and Verification",PSTV
799,27,,Network & Communications,174,Computer Performance Evaluation,Computer Performance Evaluation
800,26,MOBIQUITOUS,Network & Communications,426,International Conference on Mobile and Ubiquitous Systems: Networking and Services,MobiQuitous
801,26,,Network & Communications,178,Network and System Support for Games,NotAConf
802,26,,Network & Communications,137,iTrust,iTrust
803,24,BROADNETS,Network & Communications,1298,International Conference on Broadband Networks,BROADNETS
804,24,,Network & Communications,207,European Workshop on Wireless Sensor Networks,NotAConf
805,24,,Network & Communications,198,Passive and Active Network Measurement,NotAConf
806,24,DIAL-M,Network & Communications,120,Workshop on Discrete Algorithms and Methods for Mobile Computing and Communications,DIAL-M
807,23,AINA,Network & Communications,3285,Advanced Information Networking and Applications,AINA
808,23,NCA,Network & Communications,510,Network Computing and Applications,NCA
809,23,,Network & Communications,291,ENTER,ENTER
810,23,Performance,Network & Communications,249,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",Performance
811,23,CEAS,Network & Communications,152,Conference on Email and Anti-Spam,CEAS
812,22,ICT,Network & Communications,1417,International Conference on Telecommunications,ICT
813,22,CoNEXT,Network & Communications,332,Conference on Emerging Network Experiment and Technology,CoNEXT
814,22,SCN,Network & Communications,176,Security and Cryptography for Networks,SCN
815,21,WIOPT,Network & Communications,561,"Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks",WiOpt
816,21,WMTE,Network & Communications,181,Wireless and Mobile Technologies in Education,NotAConf
817,21,ISCN,Network & Communications,141,International Symposium on Computer Networks,ISCN
818,21,NGC,Network & Communications,118,Networked Group Communication,Networked Group Communication
819,21,WSNA,Network & Communications,30,international workshop on wireless sensor networks and applications,WSNA
820,20,ICCC,Network & Communications,2985,International Conference on Computer Communication,ICCC
821,20,HPCN Europe,Network & Communications,1086,High-Performance Computing and Networking,HPCN Europe
822,20,DCOSS,Network & Communications,214,Distributed Computing in Sensor Systems,DCOSS
823,20,SDL,Network & Communications,200,International Conference on System Design Languages,NotAConf
824,19,TestCom,Network & Communications,350,IFIP International Conference on Testing of Communicating Systems,TestCom
825,19,,Network & Communications,283,International Zurich Seminar on Digital Communications,International Zurich Seminar on Digital Communications
826,19,MobiDE,Network & Communications,121,ACM International Workshop on Data Engineering for Wireless and Mobile Access,MobiDE
827,19,HOTI,Network & Communications,58,IEEE Hot Interconnects,NotAConf
828,19,POMC,Network & Communications,30,Principles of Mobile Computing,POMC
829,18,ANCS,Network & Communications,174,Architecture for Networking and Communications Systems,ANCS
830,18,,Network & Communications,153,High Performance Networking,NotAConf
831,18,WCNC,Network & Communications,61,IEEE Wireless Communications & Networking Conference,WCNC
832,18,,Network & Communications,26,USENIX Symposium on Mobile and Location-Independent Computing,NotAConf
833,17,IWCMC,Network & Communications,1479,International Conference on Wireless Communications and Mobile Computing,IWCMC
834,17,,Network & Communications,345,Broadband Communications,Broadband Communications
835,17,WONS,Network & Communications,210,Wireless on Demand Network Systems and Service,WONS
836,17,ITC,Network & Communications,160,International Teletraffic Congress,International Teletraffic Congress
837,17,PfHSN,Network & Communications,111,Protocols for High-Speed Networks,Protocols for High-Speed Networks
838,17,ESAS,Network & Communications,69,European Workshop on Security in Ad-hoc and Sensor Networks,ESAS
839,16,ICNSC,Network & Communications,1768,"International Conference on Networking, Sensing and Control",ICNSC
840,16,ICWN,Network & Communications,845,International Conference on Wireless Networks,International Conference on Wireless Networks
841,16,,Network & Communications,318,IFIP TC6/WG6.8,NotAConf
842,16,IPCCC,Network & Communications,200,"International Performance, Computing, and Communications Conference",IPCCC
843,16,WS,Network & Communications,23,Wireless Security,NotAConf
844,15,ICOIN,Network & Communications,1200,International Conference on Information Networking,ICOIN
845,15,KiVS,Network & Communications,822,Kommunikation in Verteilten Systemen,Kommunikation in Verteilten Systemen
846,15,BSN,Network & Communications,255,Wearable and Implantable Body Sensor Networks,BSN
847,15,,Network & Communications,244,Ad-Hoc Networks and Wireless,NotAConf
848,15,,Network & Communications,150,Network Security,Network Security
849,15,IWUC,Network & Communications,106,International Workshop on Ubiquitous Computing,IWUC
850,15,LOCA,Network & Communications,86,Location- and Context-Awareness,LoCA
851,15,CANPC,Network & Communications,68,"Communication, Architecture, and Applications for Network-Based Parallel Computing",CANPC
852,15,SPC,Network & Communications,68,International Conference on Security in Pervasive Computing,SPC
853,15,WMASH,Network & Communications,56,Wireless Mobile Applications And Services On Wlan Hotspots,WMASH
854,14,ICN,Network & Communications,794,International Conference on Networking,ICN
855,14,AICT,Network & Communications,593,Advanced Industrial Conference on Telecommunications,AICT
856,14,,Network & Communications,505,Information Theory and Applications,Information Theory and Applications
857,14,MMB,Network & Communications,491,"Messung, Modellierung und Bewertung vonRechen- und Kommunikationssystemen",MMB
858,14,ICMB,Network & Communications,388,International Conference on Mobile Business,ICMB
859,14,,Network & Communications,353,COST 237 Workshops,COST 237 Workshop
860,14,MobiMedia,Network & Communications,219,International Conference on Mobile Multimedia Communications,MobiMedia
861,14,QSHINE,Network & Communications,172,Quality of Service in Heterogeneous Wired/Wireless Networks,QSHINE
862,14,VALUETOOLS,Network & Communications,150,Performance Evaluation Methodologies and Tools,VALUETOOLS
863,14,IWAN,Network & Communications,138,Active Networks,IWAN
864,14,PCRCW,Network & Communications,49,Parallel Computer Routing and Communication,PCRCW
865,14,PIMRC,Network & Communications,46,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications",PIMRC
866,14,ICE,Network & Communications,36,International Conference on Information and Computation Economies,NotAConf
867,13,ISICT,Network & Communications,2016,International Symposium on Information and Communication Technologies,ISICT
868,13,IPCC,Network & Communications,1582,International Professional Communication Conference,IPCC
869,13,EUC,Network & Communications,1100,Embedded and Ubiquitous Computing,EUC
870,13,ONDM,Network & Communications,374,Optical Network Design and Modelling,ONDM
871,13,IWDC,Network & Communications,266,International Workshop on Distributed Computing,IWDC
872,13,WICON,Network & Communications,109,International Wireless Internet Conference,WICON
873,13,EmNets,Network & Communications,37,Embedded Networked Sensors,EmNets
874,12,MMNS,Network & Communications,284,International Conference on Management of Multimedia Networks and Services,MMNS
875,12,ICPS,Network & Communications,256,International Conference on Pervasive Services,ICPS
876,12,MATA,Network & Communications,192,Mobile Agents for Telecommunication Applications,MATA
877,12,,Network & Communications,40,DARPA Active Networks Conference and Exposition,NotAConf
878,12,IATA,Network & Communications,37,Intelligent Agents for Telecommunication Applications,IATA
879,12,,Network & Communications,31,Mobile Object Systems,Mobile Object Systems
880,11,CNSR,Network & Communications,492,Conference on Communication Networks and Services Research,CNSR
881,11,UIC,Network & Communications,381,Ubiquitous Intelligence and Computing,UIC
882,11,SUTC,Network & Communications,365,"Sensor Networks, Ubiquitous, and Trustworthy Computing",SUTC
883,11,ICAS,Network & Communications,298,International Conference on Autonomic and Autonomous Systems,ICAS
884,11,WSTFEUS,Network & Communications,114,Workshop on Software Technologies for Embedded and Ubiquitous Computing Systems,WSTFEUS
885,11,WAC,Network & Communications,62,Workshop on Autonomic Communication,WAC
886,11,CMC,Network & Communications,42,International Conference on Cooperative Multimodal Communication,CMC
887,11,PROMS,Network & Communications,37,Protocols for Multimedia Systems,PROMS
888,10,ICNS,Network & Communications,450,International Conference on Networking and Services,ICNS
889,10,IS&N,Network & Communications,308,Intelligence and Services in Networks,IS&N
890,10,CIC,Network & Communications,260,Communications in Computing,Communications in Computing
891,10,HSNMC,Network & Communications,237,High Speed Networks and Multimedia Communications,HSNMC
892,10,WWIC,Network & Communications,194,Wired/Wireless Internet Communications,WWIC
893,10,TRIDENTCOM,Network & Communications,183,Testbeds and Research Infrastructures for the DEvelopment of NeTworks and COMmunities,TRIDENTCOM
894,10,ALGOSENSORS,Network & Communications,105,Algorithmic Aspects of Wireless Sensor Networks,ALGOSENSORS
895,10,,Network & Communications,69,MCPR Workshops,NotAConf
896,9,MSN,Network & Communications,510,Mobile Sensor Networks,MSN
897,9,ICWMC,Network & Communications,416,International Conference on Wireless and Mobile Communications,NotAConf
898,9,IMSA,Network & Communications,380,"Internet, Multimedia Systems and Applications",IMSA
899,9,,Network & Communications,305,Informatiktage,Informatiktage
900,9,CIIT,Network & Communications,242,"Communications, Internet, and Information Technology","Communications, Internet, and Information Technology"
901,9,IPOM,Network & Communications,199,IP Operations and Management,IPOM
902,9,ECUMN,Network & Communications,197,European Conference on Universal Multiservice Networks,ECUMN
903,9,AIMS,Network & Communications,141,"Autonomous Infrastructure, Management and Security",AIMS
904,9,QoS-IP,Network & Communications,132,Quality of Service in Multiservice IP Networks,QoS-IP
905,9,MOBIWAC,Network & Communications,111,ACM International Workshop on Mobility Management and Wireless Access,MOBIWAC
906,9,WOC,Network & Communications,109,IASTED International Multi-Conference on Wireless and Optical Communications,NotAConf
907,9,MWCN,Network & Communications,97,Mobile and Wireless Communication Networks,Mobile and Wireless Communication Networks
908,9,MMNET,Network & Communications,30,Multimedia and Networking,MMNET
909,9,InterSense,Network & Communications,28,Integrated Internet Ad Hoc and Sensor Networks,NotAConf
910,8,APSCC,Network & Communications,709,Asia-Pacific Services Computing Conference,APSCC
911,8,NBiS,Network & Communications,383,Network-Based Information Systems,NBiS
912,8,ICSNC,Network & Communications,342,International Conference on Systems and Networks Communications,ICSNC
913,8,ICDCIT,Network & Communications,277,Distributed Computing and Internet Technology,ICDCIT
914,8,ATM Networks,Network & Communications,140,Modelling and Evaluation of ATM Networks,Modelling and Evaluation of ATM Networks
915,8,Information and Communication Technology,Network & Communications,116,EurAsia-ICT,EurAsia-ICT
916,8,PE-WASUN,Network & Communications,103,"Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks",PE-WASUN
917,8,EURONGI,Network & Communications,102,EuroNGI,NotAConf
918,8,UCS,Network & Communications,87,Ubiquitous Computing Systems,UCS
919,8,ICW,Network & Communications,73,"Systems Communications (ICW, ICHSN, ICMCS, SENET)",NotAConf
920,8,,Network & Communications,70,IFIP WG6.3 Publications,NotAConf
921,8,COMSWARE,Network & Communications,66,COMmunication System softWAre and MiddlewaRE,COMSWARE
922,8,,Network & Communications,58,IFIP TC6 Publications,NotAConf
923,8,TNC,Network & Communications,49,TERENA Networking Conference,TERENA Networking Conference
924,8,IWACA,Network & Communications,38,International Workshop on Advanced Teleservices and High-Speed Communication Architectures,IWACA
925,7,ICETET,Network & Communications,712,International Conference on Emerging Trends in Engineering & Technology,ICETET
926,7,MUE,Network & Communications,497,Multimedia and Ubiquitous Engineering,MUE
927,7,FGCN,Network & Communications,452,Future Generation Communication and Networking,FGCN
928,7,ICUIMC,Network & Communications,337,International Conference on Ubiquitous Information Management and Communication,ICUIMC
929,7,WASA,Network & Communications,263,"Wireless Algorithms, Systems, and Applications",WASA
930,7,PETRA,Network & Communications,247,International Conference on Pervasive Technologies Related to Assistive Environments,PETRA
931,7,NEW2AN,Network & Communications,200,Next Generation Teletraffic and Wired/Wireless Advanced Networking,NEW2AN
932,7,,Network & Communications,168,Human.Society@Internet,Human.Society@Internet
933,7,MOBILWARE,Network & Communications,133,MOBILe Wireless MiddleWARE,MOBILWARE
934,7,CCN,Network & Communications,96,Communications and Computer Networks,Communications and Computer Networks
935,7,,Network & Communications,92,IFIP WG6.2 Publications,NotAConf
936,7,,Network & Communications,84,Richard Tapia Celebration of Diversity in Computing Conference,Richard Tapia Celebration of Diversity in Computing Conference
937,7,DFMA,Network & Communications,83,Distributed Frameworks for Multimedia Applications,DFMA
938,7,Autonomics,Network & Communications,78,Autonomic Computing and Communication Systems,Autonomics
939,7,,Network & Communications,65,INTERWORKING,INTERWORKING
940,7,MIPS,Network & Communications,65,Multimedia Interactive Protocols and Systems,MIPS
941,7,BNT,Network & Communications,37,Broadband Networking Technologies,Broadband Networking Technologies
942,7,MDM(MDA),Network & Communications,23,Int. Conf. on Mobile Data Access/Management,MDM
943,7,MRCO,Network & Communications,13,Modeling and Retrieval of Context,NotAConf
944,6,ICETE,Network & Communications,530,Int. Conf. on E-Business and Telecommunication Networks,ICETE
945,6,SECRYPT,Network & Communications,349,Security and Cryptography,SECRYPT
946,6,ICDCN,Network & Communications,261,International Conference of Distributed Computing and Networking,ICDCN
947,6,,Network & Communications,240,Mobility Conference,Mobility Conference
948,6,ICDS,Network & Communications,192,International Conference on the Digital Society,ICDS
949,6,SmartNet,Network & Communications,113,Intelligence in Networks,SMARTNET
950,6,SIIT,Network & Communications,107,Standardization and Innovation in Information Technology,SIIT
951,6,IWSOS,Network & Communications,101,International Workshop on Self-Organizing Systems,IWSOS
952,6,ULPAA,Network & Communications,70,"Upper Layer Protocols, Architecture and Applications",ULPAA
953,6,NET-COOP,Network & Communications,65,Network Control and Optimization,NET-COOP
954,6,AINTEC,Network & Communications,64,Asian Internet Engineering Conference,AINTEC
955,6,IASTEDCSN,Network & Communications,56,IASTED International Conference on Communication Systems and Networks,NotAConf
956,6,,Network & Communications,52,Data Communications and their Performance,Data Communications and their Performance
957,6,INTELLCOMM,Network & Communications,32,IFIP International Conference on Intelligence in Communication Systems,INTELLCOMM
958,6,,Network & Communications,12,Wireless Mobile Internet,Wireless Mobile Internet
959,6,NOCS,Network & Communications,11,Networks-on-Chips,NOCS
960,5,NCM,Network & Communications,815,Networked Computing and Advanced Information Management,NCM
961,5,APNOMS,Network & Communications,314,Asia-Pacific Network Operations and Management Symposium,APNOMS
962,5,,Network & Communications,202,DFN Arbeitstagung ber Kommunikationsnetze,NotAConf
963,5,,Network & Communications,85,Broadband Islands,Broadband Islands
964,5,,Network & Communications,72,IFIP TC6.6 Publications,NotAConf
965,5,,Network & Communications,64,Wireless Information Systems,Wireless Information Systems
966,5,SYBEN,Network & Communications,62,Broadband European Networks and Multimedia Services,SYBEN
967,5,CIC,Network & Communications,53,CDMA International Conference,CDMA International Conference
968,5,CNIS,Network & Communications,40,"Communication, Network, and Information Security","Communication, Network, and Information Security"
969,5,AAA-IDEA,Network & Communications,16,Advanced Architectures and Algorithms for Internet Delivery and Applications,AAA-IDEA
970,5,WMAN,Network & Communications,14,Workshop ber Mobile Ad-Hoc Netzwerke,WMAN
971,4,ICUMT,Network & Communications,547,Ultra Modern Telecommunications,ICUMT
972,4,ARTCom,Network & Communications,337,Advances in Recent Technologies in Communication and Computing,ARTCom
973,4,,Network & Communications,92,Information Network and Data Communication,NotAConf
974,4,,Network & Communications,51,Nano-Net,Nano-Net
975,4,,Network & Communications,34,Mobile Response,Mobile Response
976,4,SAPIR,Network & Communications,29,Service Assurance with Partial and Intermittent Resources,SAPIR
977,4,,Network & Communications,24,Performance of Distributed Systems and Integrated Communication Networks,Performance of Distributed Systems and Integrated Communication Networks
978,4,,Network & Communications,22,Wide Area Networks and High Performance Computing,Wide Area Networks and High Performance Computing
979,4,ICQT,Network & Communications,21,Internet Charging and QoS Technologies,ICQT
980,4,,Network & Communications,15,Databases In Telecommunications,Databases in Telecommunications
981,4,ICITA,Network & Communications,7,International Conference in IT & Application,ICITA
982,3,WINSYS,Network & Communications,146,Wireless Information Networks and Systems,WINSYS
983,3,EATIS,Network & Communications,132,Euro American Conference on Telematics and Information Systems,EATIS
984,3,OPNETEC,Network & Communications,78,Optical Networks & Technologies Conference,OpNeTec
985,3,ICMCTA,Network & Communications,20,International Castle Meeting on Coding Theory and Applications,ICMCTA
986,3,,Network & Communications,19,Computer and Telecommunications Performance Engineering,Computer and Telecommunications Performance Engineering
987,3,FIRB-PERF,Network & Communications,14,"Workshop on Techniques, Methodologies and Tools for Performance Evaluation of Complex Systems",FIRB-Perf
988,3,,Network & Communications,13,Local Area Network Security,NotAConf
989,3,DIAL M,Network & Communications,8,Workshop on Discrete Algothrithms and Methods for MOBILE Computing and Communications,DIAL-M
990,3,NETA,Network & Communications,7,Conference on Network Administration,NETA
991,3,NOMS,Network & Communications,7,IEEE/IFIP Network Operations and Management Symposium,NOMS
992,3,NAS,Network & Communications,4,IEEE NAS,NAS
993,2,PACCS,Network & Communications,685,"Pacific-Asia Conference on Circuits, Communications and Systems",PACCS
994,2,EMV,Network & Communications,91,Elektromagnetische Vertrglichkeit,EMV
995,2,HPCNCS,Network & Communications,81,"High Performance Computing, Networking and Communication Systems",HPCNCS
996,2,BroadCom,Network & Communications,79,"International Conference on Broadband Communications, Information Technology & Biomedical Applications",BroadCom
997,2,CSA,Network & Communications,42,Communication Systems and Applications,Communication Systems and Applications
998,2,UbiMob,Network & Communications,37,Journes Francophones Mobilit et Ubiquit,UbiMob
999,2,,Network & Communications,23,Advanced Information Processing Techniques for LAN and MAN Management,Advanced Information Processing Techniques for LAN and MAN Management
1000,1,,Network & Communications,275,GI-Fachtagung/Fachgesprch ber Rechenzentren,NotAConf
1001,1,ICTA,Network & Communications,51,Information and Communication Technologies and Accessibility,ICTA
1002,1,SBS,Network & Communications,10,Shaping the Broadband Society,Shaping the Broadband Society
1003,1,NOMS,Network & Communications,9,IEEE/IFIP Network Operations and Management Symposium,NOMS
1004,0,WCNC,Network & Communications,3,IEEE Wireless Communications & Networking Conference,WCNC
1005,0,,Network & Communications,1,Wireless Sensor Networks and Applications,Wireless Sensor Networks and Applications
1006,0,ICNSC,Network & Communications,1,"International Conference on Networking, Sensing and Control",ICNSC
1007,135,NIPS,Natural Language & Speech,4284,Neural Information Processing Systems,NIPS
1008,107,ACL,Natural Language & Speech,3214,Meeting of the Association for Computational Linguistics,ACL
1009,100,ICASSP,Natural Language & Speech,30945,"International Conference on Acoustics, Speech, and Signal Processing",ICASSP
1010,68,COLING,Natural Language & Speech,2947,International Conference on Computational Linguistics,COLING
1011,58,NAACL,Natural Language & Speech,1174,North American Chapter of the Association for Computational Linguistics,NAACL
1012,41,EACL,Natural Language & Speech,782,Conference of the European Chapter of the Association for Computational Linguistics,EACL
1013,41,ANLP,Natural Language & Speech,342,Applied Natural Language Processing Conference,ANLP
1014,40,HLT,Natural Language & Speech,525,Human Language Technology,HLT
1015,37,LREC,Natural Language & Speech,1857,Language Resources and Evaluation,Language Resources and Evaluation
1016,36,EMNLP,Natural Language & Speech,694,Empirical Methods in Natural Language Processing,EMNLP
1017,27,ASRU,Natural Language & Speech,725,IEEE Workshop on Automatic Speech Recognition and Understanding,ASRU
1018,26,,Natural Language & Speech,165,Natural Language Processing,Natural Language Processing
1019,25,INTERSPEECH,Natural Language & Speech,7065,Annual Conference of the International Speech Communication Association,INTERSPEECH
1020,25,IWPT,Natural Language & Speech,190,International Workshop on Parsing Technologies,IWPT
1021,23,NLG,Natural Language & Speech,97,International Workshop on Natural Language Generation,NLG
1022,21,AMTA,Natural Language & Speech,227,Conference of the Association for Machine Translation in the Americas,AMTA
1023,21,INLG,Natural Language & Speech,165,International Conference on Natural Language Generation,INLG
1024,19,ICWSM,Natural Language & Speech,236,International Conference on Weblogs and Social Media,ICWSM
1025,19,EUROSPEECH,Natural Language & Speech,109,European Conference on Speech Communication and Technology,EUROSPEECH
1026,18,CICLing,Natural Language & Speech,704,Conference on Intelligent Text Processing and Computational Linguistics,CICLing
1027,18,IJCNLP,Natural Language & Speech,273,International Joint Conference on Natural Language Processing,IJCNLP
1028,18,ICSLP,Natural Language & Speech,116,International Conference on Spoken Language Processing,ICSLP
1029,16,NLDB,Natural Language & Speech,408,Applications of Natural Language to Data Bases,NLDB
1030,16,RANLP,Natural Language & Speech,189,Recent Advances in Natural Language Processing,RANLP
1031,16,EWNLG,Natural Language & Speech,115,European Workshop on Natural Language Generation,EWNLG
1032,16,LACL,Natural Language & Speech,106,Logical Aspects of Computational Linguistics,LACL
1033,15,,Natural Language & Speech,179,Natural Language Processing Pacific Rim Symposium,NotAConf
1034,14,TSD,Natural Language & Speech,866,"TSD, Text, Speech and Dialogue",TSD
1035,14,,Natural Language & Speech,121,theoretical issues in natural language processing,NotAConf
1036,14,,Natural Language & Speech,70,Computerlinguistik,NotAConf
1037,12,,Natural Language & Speech,51,New Directions in Question Answering,New Directions in Question Answering
1038,12,SIGLEX,Natural Language & Speech,34,Lexical Semantics and Knowledge Representation,NotAConf
1039,11,SCIE,Natural Language & Speech,29,Summer School on Information Extraction,SCIE
1040,10,SLT,Natural Language & Speech,237,IEEE Workshop on Spoken Language Technology,SLT
1041,10,CLIN,Natural Language & Speech,132,Computational Linguistics in the Netherlands,CLIN
1042,9,ISCSLP,Natural Language & Speech,418,Chinese Spoken Language Processing,ISCSLP
1043,9,FSMNLP,Natural Language & Speech,97,Finite-State Methods and Natural Language Processing,FSMNLP
1044,9,FINTAL,Natural Language & Speech,87,International Conference on NLP,FinTAL
1045,9,DAARC,Natural Language & Speech,56,Discourse Anaphora and Anaphor Resolution Colloquium,DAARC
1046,8,KONVENS,Natural Language & Speech,136,Verarbeitung natrlicher Sprache,KONVENS
1047,8,IVTTA,Natural Language & Speech,107,IEEE Workshop on Interactive Voice Technology for Telecommunications Applications,NotAConf
1048,8,NLULP,Natural Language & Speech,70,Natural Language Understanding and Logic Programming Workshop,Natural Language Understanding and Logic Programming Workshop
1049,8,,Natural Language & Speech,25,Learning Language in Logic,Learning Language in Logic
1050,7,TAL,Natural Language & Speech,166,TAL,TAL
1051,7,ICCPOL,Natural Language & Speech,138,International Conference on the Computer Processing of Oriental Languages,ICCPOL
1052,7,LEC,Natural Language & Speech,36,Language Engineering Conference,NotAConf
1053,7,MLCW,Natural Language & Speech,26,Machine Learning Challenges Workshop,MLCW
1054,7,NAACL-ANLP,Natural Language & Speech,8,ANLP/NAACL Workshops,NotAConf
1055,6,,Natural Language & Speech,135,Processing of the Portuguese Language,NotAConf
